,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
601,35,blue-collar,married,primary,no,3587,yes,no,unknown,30,may,148,4,-1,0,unknown,no
602,55,retired,married,primary,no,150,no,no,cellular,8,jul,124,1,-1,0,unknown,no
603,52,self-employed,single,primary,no,217,no,yes,cellular,15,jul,193,6,-1,0,unknown,no
604,48,management,single,tertiary,no,8106,no,no,unknown,17,nov,125,1,111,3,failure,no
605,31,services,single,secondary,no,2070,no,no,cellular,29,aug,319,2,-1,0,unknown,no
606,28,technician,single,tertiary,no,0,yes,no,unknown,4,jun,205,6,-1,0,unknown,no
607,34,management,married,tertiary,no,1116,yes,no,cellular,25,jul,53,5,-1,0,unknown,no
608,50,technician,single,secondary,no,3897,no,no,cellular,26,oct,298,1,-1,0,unknown,no
609,52,technician,married,secondary,no,1781,yes,no,unknown,19,may,144,2,-1,0,unknown,no
610,31,blue-collar,married,secondary,no,191,yes,no,unknown,2,jun,40,1,-1,0,unknown,no
611,53,entrepreneur,married,primary,no,27,yes,no,telephone,10,sep,230,3,-1,0,unknown,yes
612,59,retired,married,primary,no,1427,no,no,unknown,18,jun,140,2,-1,0,unknown,no
613,50,self-employed,married,tertiary,no,202,yes,no,cellular,15,apr,107,1,148,4,failure,no
614,41,blue-collar,married,secondary,no,-217,yes,no,cellular,11,may,313,1,349,3,other,no
615,40,management,married,tertiary,no,0,no,no,cellular,14,jul,109,8,-1,0,unknown,no
616,28,technician,single,secondary,no,389,yes,no,cellular,11,may,15,7,-1,0,unknown,no
617,72,blue-collar,married,primary,no,4415,no,no,telephone,13,oct,120,1,-1,0,unknown,no
618,55,services,married,secondary,no,-31,no,yes,cellular,13,aug,81,2,-1,0,unknown,no
619,54,retired,married,primary,no,0,yes,no,cellular,11,jul,159,2,-1,0,unknown,no
620,47,technician,married,secondary,no,2246,yes,no,cellular,10,jul,330,1,-1,0,unknown,no
621,36,services,single,secondary,no,417,yes,no,cellular,6,feb,15,10,207,3,failure,no
622,44,management,married,tertiary,no,7635,no,no,cellular,21,aug,719,5,-1,0,unknown,no
623,41,admin.,married,secondary,no,920,yes,yes,unknown,27,may,239,1,-1,0,unknown,no
624,40,technician,single,tertiary,no,825,yes,no,cellular,20,apr,38,1,335,1,other,no
625,55,retired,married,secondary,no,4194,no,yes,telephone,30,jul,208,3,-1,0,unknown,no
626,35,management,divorced,tertiary,no,160,yes,no,unknown,4,jun,141,6,-1,0,unknown,no
627,36,admin.,married,unknown,no,2323,no,no,cellular,19,nov,111,1,-1,0,unknown,no
628,33,blue-collar,married,secondary,no,249,yes,no,cellular,31,jul,61,4,-1,0,unknown,no
629,29,management,single,tertiary,no,15459,no,no,cellular,26,may,245,3,97,7,success,no
630,43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,2,-1,0,unknown,yes
631,35,services,divorced,secondary,no,221,yes,no,cellular,14,may,150,1,360,1,failure,no
632,57,admin.,married,tertiary,no,46,no,no,cellular,7,aug,238,2,-1,0,unknown,no
633,52,management,divorced,tertiary,no,50,yes,no,unknown,12,jun,84,3,-1,0,unknown,no
634,28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,sep,199,1,92,14,success,yes
635,56,admin.,married,secondary,no,1270,yes,no,cellular,17,nov,80,2,165,2,other,no
636,40,services,single,secondary,no,65,yes,no,cellular,15,may,15,3,-1,0,unknown,no
637,32,technician,single,tertiary,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no
638,49,blue-collar,married,primary,no,365,no,no,unknown,26,may,59,2,-1,0,unknown,no
639,33,technician,divorced,secondary,yes,10,yes,yes,cellular,18,nov,167,5,-1,0,unknown,no
640,41,management,married,tertiary,no,51,no,no,cellular,25,aug,140,8,-1,0,unknown,no
641,49,management,single,tertiary,no,151,yes,no,cellular,8,jul,97,3,-1,0,unknown,yes
642,60,retired,married,tertiary,no,225,no,no,cellular,19,aug,54,2,-1,0,unknown,no
643,51,management,married,secondary,no,3180,yes,no,cellular,9,jul,384,1,-1,0,unknown,no
644,54,retired,divorced,primary,no,22,no,no,unknown,20,jun,23,4,-1,0,unknown,no
645,27,entrepreneur,single,secondary,no,376,yes,yes,cellular,5,may,273,1,-1,0,unknown,no
646,31,blue-collar,married,secondary,no,1407,yes,no,cellular,6,may,142,3,-1,0,unknown,no
647,34,management,married,tertiary,no,415,no,yes,cellular,23,jul,361,2,-1,0,unknown,no
648,30,management,married,tertiary,no,944,no,no,cellular,29,oct,251,2,-1,0,unknown,yes
649,27,admin.,married,secondary,no,-247,yes,yes,unknown,4,jun,344,2,-1,0,unknown,no
650,50,management,married,tertiary,no,0,no,no,cellular,9,jul,243,5,-1,0,unknown,no
651,24,admin.,married,secondary,no,299,yes,no,cellular,6,may,209,1,321,1,failure,no
652,55,admin.,married,secondary,no,865,yes,no,cellular,17,apr,85,1,151,1,failure,no
653,37,self-employed,married,secondary,no,215,yes,no,unknown,6,jun,61,1,-1,0,unknown,no
654,30,unemployed,married,tertiary,no,0,yes,no,cellular,18,nov,756,1,-1,0,unknown,no
655,52,management,single,tertiary,no,83,no,no,cellular,26,aug,1223,6,-1,0,unknown,yes
656,34,technician,married,secondary,no,1,yes,no,cellular,19,nov,108,1,-1,0,unknown,no
657,44,technician,divorced,secondary,no,14,no,no,cellular,13,nov,167,1,92,1,success,yes
658,58,blue-collar,married,secondary,no,602,yes,no,cellular,13,may,201,1,-1,0,unknown,no
659,43,technician,married,secondary,no,0,yes,yes,cellular,4,feb,539,8,204,5,failure,no
660,37,blue-collar,married,primary,no,3242,yes,no,unknown,21,may,233,1,-1,0,unknown,no
661,32,blue-collar,married,secondary,no,119,no,no,cellular,4,may,20,5,-1,0,unknown,no
662,49,management,single,secondary,no,61,yes,no,cellular,29,jan,185,2,246,1,failure,no
663,60,retired,married,primary,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no
664,35,admin.,married,primary,no,189,yes,no,cellular,11,may,95,1,-1,0,unknown,no
665,35,blue-collar,single,unknown,no,871,yes,no,unknown,6,jun,216,3,-1,0,unknown,no
666,40,management,single,tertiary,no,0,yes,no,cellular,23,feb,228,2,182,6,failure,yes
667,32,services,single,secondary,no,473,yes,no,cellular,7,jul,624,5,-1,0,unknown,no
668,54,management,married,tertiary,no,3,no,yes,cellular,8,jul,443,1,-1,0,unknown,no
669,30,services,single,secondary,no,0,yes,no,cellular,18,may,131,6,363,9,failure,no
670,38,blue-collar,single,secondary,no,-1,yes,no,unknown,7,may,72,1,-1,0,unknown,no
671,30,admin.,married,secondary,no,518,yes,no,cellular,8,may,127,1,-1,0,unknown,no
672,53,entrepreneur,married,secondary,no,-118,yes,no,unknown,9,may,101,3,-1,0,unknown,no
673,36,services,married,secondary,no,472,yes,no,unknown,19,jun,1017,1,-1,0,unknown,no
674,41,management,married,tertiary,no,140,yes,no,unknown,5,jun,65,3,-1,0,unknown,no
675,37,blue-collar,married,unknown,no,603,yes,no,unknown,23,may,773,2,-1,0,unknown,no
676,59,management,married,tertiary,no,0,no,no,cellular,27,aug,87,4,-1,0,unknown,no
677,31,blue-collar,single,primary,no,-280,no,no,unknown,21,may,281,3,-1,0,unknown,no
678,26,student,single,secondary,no,2572,yes,no,cellular,5,may,620,1,-1,0,unknown,no
679,34,blue-collar,single,secondary,no,186,no,no,cellular,2,feb,342,1,-1,0,unknown,no
680,26,admin.,divorced,secondary,yes,-3,yes,no,unknown,13,may,181,5,-1,0,unknown,no
681,58,management,married,tertiary,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no
682,48,management,married,tertiary,no,263,yes,no,unknown,5,may,350,2,-1,0,unknown,no
683,57,management,married,tertiary,no,929,no,no,cellular,19,aug,387,8,-1,0,unknown,no
684,51,self-employed,married,unknown,no,2094,no,no,cellular,8,jun,458,6,-1,0,unknown,yes
685,47,management,married,tertiary,no,295,yes,no,cellular,5,aug,157,1,-1,0,unknown,no
686,56,retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no
687,30,student,single,secondary,no,25,no,no,telephone,30,apr,44,1,-1,0,unknown,no
688,36,self-employed,married,tertiary,no,307,yes,no,cellular,14,may,341,1,330,2,other,no
689,48,management,divorced,tertiary,no,541,yes,no,cellular,14,may,72,1,363,2,other,no
690,55,management,married,unknown,no,559,no,no,cellular,28,jan,271,2,-1,0,unknown,no
691,57,management,married,tertiary,no,2416,no,no,cellular,11,aug,74,2,-1,0,unknown,no
692,31,management,married,tertiary,no,395,yes,no,cellular,9,feb,155,3,-1,0,unknown,no
693,32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,yes
694,46,blue-collar,married,secondary,no,5,no,no,cellular,18,aug,71,3,-1,0,unknown,no
695,57,admin.,married,secondary,no,2137,no,no,telephone,8,jul,132,7,-1,0,unknown,no
696,38,management,married,tertiary,no,76,yes,no,cellular,7,jul,196,3,-1,0,unknown,no
697,33,services,single,secondary,no,358,yes,no,cellular,7,may,302,1,356,3,failure,no
698,28,technician,single,secondary,no,769,yes,no,cellular,15,may,153,1,371,2,failure,no
699,37,blue-collar,married,primary,no,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no
700,50,management,married,secondary,no,732,no,no,cellular,7,apr,736,7,-1,0,unknown,no
701,60,management,single,tertiary,no,0,no,yes,cellular,23,jul,151,1,-1,0,unknown,no
702,23,admin.,single,secondary,no,5,no,no,unknown,12,may,413,1,-1,0,unknown,no
703,54,self-employed,divorced,primary,no,4382,yes,no,telephone,18,may,193,4,-1,0,unknown,no
704,54,services,divorced,secondary,no,1012,yes,no,cellular,12,may,33,3,175,2,other,no
705,54,unknown,married,unknown,no,895,no,no,cellular,7,oct,335,1,-1,0,unknown,yes
706,53,admin.,divorced,secondary,no,0,yes,yes,cellular,30,apr,586,2,-1,0,unknown,no
707,33,blue-collar,single,secondary,no,4404,yes,no,cellular,20,nov,766,3,-1,0,unknown,no
708,32,management,married,tertiary,no,5878,no,no,cellular,19,aug,159,2,-1,0,unknown,no
709,31,management,married,tertiary,no,4945,no,no,cellular,11,aug,445,1,-1,0,unknown,no
710,55,management,married,primary,no,621,no,yes,cellular,2,feb,114,1,208,1,failure,no
711,48,admin.,divorced,unknown,no,-70,no,no,cellular,14,may,243,1,-1,0,unknown,no
712,42,self-employed,married,tertiary,no,753,no,no,unknown,17,jun,31,1,-1,0,unknown,no
713,45,blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes
714,38,blue-collar,married,primary,no,2569,no,no,unknown,9,jun,172,1,-1,0,unknown,no
715,35,blue-collar,divorced,secondary,no,3102,yes,no,cellular,20,nov,138,1,-1,0,unknown,no
716,47,self-employed,divorced,secondary,no,8515,yes,no,unknown,20,nov,14,7,112,4,other,no
717,59,technician,married,secondary,no,259,no,no,cellular,15,jun,415,1,89,1,success,yes
718,29,blue-collar,married,secondary,no,358,no,no,cellular,21,jul,88,5,-1,0,unknown,no
719,69,retired,married,primary,no,579,no,no,cellular,14,aug,230,1,-1,0,unknown,no
720,28,student,single,tertiary,no,1562,no,no,cellular,15,feb,659,4,-1,0,unknown,yes
721,47,technician,married,primary,no,145,yes,no,unknown,7,may,157,6,-1,0,unknown,no
722,56,admin.,married,unknown,no,2038,no,no,cellular,8,feb,405,1,305,1,success,no
723,38,management,single,tertiary,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,no
724,40,technician,single,tertiary,no,226,no,no,cellular,15,jan,176,2,-1,0,unknown,no
725,49,admin.,married,secondary,no,13229,no,yes,telephone,8,jul,77,2,-1,0,unknown,no
726,33,blue-collar,married,secondary,no,889,yes,no,unknown,18,sep,13,1,373,6,success,no
727,57,retired,married,primary,no,5799,no,no,unknown,17,jun,97,1,-1,0,unknown,no
728,39,blue-collar,married,primary,no,1506,yes,no,cellular,11,may,299,2,-1,0,unknown,no
729,32,blue-collar,married,secondary,no,0,yes,no,cellular,8,may,80,2,-1,0,unknown,no
730,53,technician,married,secondary,no,230,no,yes,cellular,13,aug,112,2,-1,0,unknown,no
731,78,housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no
732,39,blue-collar,married,secondary,no,285,yes,yes,unknown,6,may,209,1,-1,0,unknown,no
733,41,management,married,tertiary,no,832,yes,yes,cellular,21,nov,164,1,176,1,failure,no
734,34,technician,married,tertiary,no,197,no,no,cellular,20,aug,78,3,-1,0,unknown,yes
735,32,admin.,single,secondary,no,92,yes,no,cellular,18,may,110,1,315,2,failure,no
736,27,student,single,tertiary,no,118,no,no,cellular,25,may,112,1,-1,0,unknown,no
737,39,blue-collar,married,primary,no,3705,yes,no,unknown,16,jun,77,1,-1,0,unknown,no
738,39,admin.,divorced,secondary,no,1022,yes,no,unknown,20,jun,20,3,-1,0,unknown,no
739,43,entrepreneur,married,tertiary,no,1574,yes,no,cellular,19,nov,167,3,-1,0,unknown,no
740,43,services,married,primary,no,2567,yes,no,cellular,14,may,109,1,360,2,failure,no
741,46,management,single,tertiary,no,2154,yes,no,cellular,21,jul,87,4,-1,0,unknown,no
742,50,blue-collar,married,primary,no,0,no,no,cellular,11,aug,72,5,-1,0,unknown,no
743,50,management,married,unknown,no,3304,no,no,unknown,5,jun,1009,2,-1,0,unknown,no
744,28,management,single,tertiary,no,4937,yes,no,telephone,13,may,421,3,-1,0,unknown,no
745,32,technician,married,secondary,yes,4,yes,yes,cellular,25,aug,132,8,-1,0,unknown,no
746,30,services,married,secondary,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no
747,30,management,married,tertiary,no,877,no,no,cellular,13,aug,202,1,83,5,failure,no
748,36,management,married,tertiary,no,9269,yes,yes,cellular,19,nov,107,2,-1,0,unknown,no
749,32,technician,married,tertiary,no,-1053,yes,no,cellular,21,jul,357,3,-1,0,unknown,no
750,58,self-employed,married,primary,no,1013,yes,no,cellular,11,aug,206,1,461,1,failure,yes
751,56,management,divorced,tertiary,no,442,no,no,unknown,28,may,77,3,-1,0,unknown,no
752,22,admin.,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no
753,32,technician,single,secondary,no,29,no,no,cellular,19,aug,156,2,-1,0,unknown,no
754,44,unknown,married,secondary,no,2319,no,no,cellular,4,aug,251,3,-1,0,unknown,no
755,53,management,married,primary,no,4086,no,no,unknown,20,jun,14,3,-1,0,unknown,no
756,38,self-employed,married,secondary,no,746,no,no,unknown,20,jun,256,3,-1,0,unknown,no
757,34,blue-collar,married,secondary,no,322,yes,no,cellular,20,apr,10,3,-1,0,unknown,no
758,58,retired,married,secondary,no,983,no,no,cellular,5,aug,139,1,-1,0,unknown,no
759,59,management,married,tertiary,no,1585,no,no,telephone,28,aug,91,5,-1,0,unknown,no
760,49,technician,married,secondary,no,2718,no,no,unknown,19,may,114,2,-1,0,unknown,no
761,31,blue-collar,married,secondary,no,472,yes,no,unknown,13,may,907,2,-1,0,unknown,no
762,69,retired,married,primary,no,279,no,no,telephone,12,aug,26,1,-1,0,unknown,no
763,60,retired,married,secondary,no,262,no,no,cellular,18,aug,393,4,-1,0,unknown,no
764,32,unemployed,married,secondary,no,10,yes,no,unknown,6,may,501,4,-1,0,unknown,no
765,37,blue-collar,divorced,secondary,no,0,yes,no,cellular,21,apr,146,4,-1,0,unknown,yes
766,35,blue-collar,married,secondary,no,280,yes,yes,cellular,31,jul,65,50,-1,0,unknown,no
767,51,entrepreneur,married,tertiary,no,3921,yes,no,cellular,5,may,168,1,-1,0,unknown,no
768,47,technician,married,secondary,no,-75,yes,no,cellular,4,feb,57,1,247,1,other,no
769,40,management,married,tertiary,no,1217,yes,yes,cellular,18,nov,155,1,-1,0,unknown,no
770,37,unemployed,married,unknown,no,4565,no,no,cellular,4,sep,369,1,-1,0,unknown,no
771,37,management,married,tertiary,no,238,no,no,cellular,3,feb,185,1,92,1,success,yes
772,53,management,married,primary,no,995,no,no,cellular,4,feb,200,3,-1,0,unknown,no
773,43,management,married,tertiary,no,1188,no,no,cellular,27,may,140,2,-1,0,unknown,no
774,35,services,married,secondary,no,181,yes,no,cellular,31,jul,5,3,-1,0,unknown,no
775,32,blue-collar,divorced,secondary,no,739,yes,no,unknown,9,may,171,1,-1,0,unknown,no
776,25,technician,single,secondary,no,959,no,no,cellular,9,jul,144,5,-1,0,unknown,no
777,36,blue-collar,married,secondary,no,1554,yes,no,unknown,12,may,325,4,-1,0,unknown,no
778,83,retired,married,primary,no,425,no,no,telephone,22,jun,883,1,140,1,failure,yes
779,47,admin.,single,secondary,no,2540,no,no,cellular,18,nov,110,5,-1,0,unknown,no
780,24,blue-collar,single,secondary,no,77,yes,no,unknown,16,may,236,2,-1,0,unknown,no
781,28,services,single,secondary,no,229,yes,no,unknown,9,may,322,1,-1,0,unknown,no
782,55,management,married,tertiary,no,6880,no,no,cellular,8,aug,353,2,-1,0,unknown,no
783,41,blue-collar,married,primary,no,168,yes,no,cellular,18,nov,187,3,-1,0,unknown,no
784,33,blue-collar,single,secondary,no,-320,no,no,cellular,18,may,268,2,-1,0,unknown,no
785,35,blue-collar,married,secondary,no,-339,yes,no,unknown,8,may,389,2,-1,0,unknown,no
786,30,self-employed,married,secondary,no,123,no,yes,unknown,17,jul,66,1,85,5,other,no
787,44,entrepreneur,married,tertiary,no,0,yes,no,unknown,9,jul,300,1,-1,0,unknown,no
788,31,management,single,tertiary,no,2590,no,no,cellular,23,sep,103,2,484,2,other,no
789,44,management,married,tertiary,no,529,yes,no,unknown,4,jun,129,4,-1,0,unknown,no
790,35,blue-collar,single,primary,no,1147,yes,yes,telephone,7,may,29,1,-1,0,unknown,no
791,38,management,married,unknown,no,3576,no,no,cellular,25,nov,349,2,183,1,success,yes
792,47,management,divorced,tertiary,no,2515,no,no,unknown,20,jun,40,3,-1,0,unknown,no
793,38,technician,married,tertiary,no,1042,yes,no,cellular,4,feb,419,2,-1,0,unknown,no
794,46,blue-collar,married,primary,no,665,no,no,cellular,30,jan,89,4,235,2,failure,no
795,34,services,married,secondary,no,0,yes,no,cellular,14,jul,78,4,-1,0,unknown,no
796,38,entrepreneur,married,tertiary,no,228,yes,no,cellular,5,feb,105,1,-1,0,unknown,no
797,59,management,divorced,tertiary,no,7813,yes,no,cellular,21,nov,75,1,-1,0,unknown,no
798,36,management,married,tertiary,no,340,yes,no,cellular,20,apr,68,2,-1,0,unknown,no
799,31,admin.,married,secondary,no,314,yes,no,cellular,17,apr,279,1,-1,0,unknown,no
800,52,housemaid,married,secondary,no,14363,no,no,unknown,5,jun,132,1,-1,0,unknown,no
801,32,services,single,secondary,no,182,yes,no,cellular,6,may,145,1,-1,0,unknown,no
802,56,retired,divorced,secondary,no,212,no,yes,telephone,17,jul,27,1,-1,0,unknown,no
803,54,blue-collar,married,secondary,no,448,yes,yes,cellular,5,aug,98,1,-1,0,unknown,no
804,41,entrepreneur,married,tertiary,no,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no
805,48,technician,married,secondary,no,568,yes,no,cellular,2,sep,378,2,386,1,success,yes
806,41,entrepreneur,married,secondary,no,1249,yes,no,cellular,9,jul,391,1,-1,0,unknown,no
807,30,admin.,single,secondary,no,127,yes,no,cellular,18,may,16,6,368,1,other,no
808,33,blue-collar,single,secondary,no,5137,yes,no,cellular,6,may,123,1,-1,0,unknown,no
809,50,blue-collar,married,secondary,no,372,yes,no,telephone,11,may,21,1,-1,0,unknown,no
810,32,blue-collar,married,secondary,no,-63,yes,no,unknown,30,may,198,1,-1,0,unknown,no
811,44,blue-collar,married,primary,no,-237,yes,no,telephone,10,jul,73,1,-1,0,unknown,no
812,34,blue-collar,married,secondary,no,7,yes,yes,cellular,2,feb,171,2,193,2,other,no
813,32,management,single,tertiary,no,0,no,no,cellular,21,nov,9,6,-1,0,unknown,no
814,32,admin.,divorced,secondary,yes,5,yes,yes,cellular,18,may,82,3,363,2,other,no
815,33,unknown,married,secondary,no,2727,no,no,cellular,6,aug,205,3,-1,0,unknown,no
816,39,technician,married,unknown,no,839,no,no,unknown,30,may,825,2,-1,0,unknown,no
817,43,management,divorced,tertiary,no,497,no,no,cellular,13,may,66,1,363,22,failure,no
818,30,blue-collar,single,secondary,no,363,no,no,cellular,28,jul,171,3,-1,0,unknown,no
819,57,retired,divorced,secondary,no,39,yes,no,cellular,30,jul,354,3,-1,0,unknown,no
820,31,admin.,married,secondary,no,5,yes,yes,cellular,16,jul,101,7,-1,0,unknown,no
821,35,technician,married,secondary,no,0,yes,no,cellular,9,nov,524,1,96,5,success,yes
822,53,management,married,tertiary,no,15,no,no,cellular,20,aug,921,2,-1,0,unknown,yes
823,42,entrepreneur,married,tertiary,no,233,no,no,cellular,5,feb,446,1,-1,0,unknown,no
824,41,admin.,divorced,secondary,no,3823,no,no,cellular,26,apr,234,10,-1,0,unknown,no
825,51,services,divorced,secondary,no,518,yes,no,telephone,17,nov,76,1,-1,0,unknown,no
826,48,management,married,primary,no,2537,no,no,cellular,26,aug,219,6,-1,0,unknown,no
827,33,management,single,secondary,no,-424,yes,no,unknown,26,may,863,1,-1,0,unknown,no
828,38,technician,married,secondary,no,226,yes,no,unknown,30,may,762,3,-1,0,unknown,yes
829,32,blue-collar,single,secondary,no,-84,yes,no,cellular,11,may,426,1,-1,0,unknown,no
830,32,services,married,primary,no,228,yes,no,cellular,21,jul,1017,6,-1,0,unknown,yes
831,54,housemaid,married,secondary,no,209,yes,yes,cellular,25,jul,97,1,-1,0,unknown,no
832,56,unemployed,divorced,primary,no,802,no,no,telephone,3,feb,258,2,-1,0,unknown,no
833,43,blue-collar,married,primary,no,778,yes,yes,unknown,15,may,284,5,-1,0,unknown,no
834,51,blue-collar,married,primary,no,5050,no,yes,unknown,16,jun,75,7,-1,0,unknown,no
835,41,blue-collar,married,secondary,no,338,yes,no,unknown,14,may,87,1,-1,0,unknown,no
836,47,housemaid,married,secondary,no,3940,yes,no,cellular,9,nov,171,2,96,5,success,no
837,33,management,married,tertiary,no,296,no,no,cellular,16,jul,90,2,-1,0,unknown,no
838,32,blue-collar,single,secondary,no,118,yes,no,cellular,17,jul,1275,1,-1,0,unknown,yes
839,36,technician,single,tertiary,no,40,no,no,cellular,26,aug,359,3,-1,0,unknown,no
840,41,technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown,no
841,37,admin.,married,secondary,no,176,yes,no,cellular,5,may,147,2,347,1,failure,no
842,29,technician,married,tertiary,no,858,yes,no,cellular,12,jun,234,7,330,1,failure,no
843,41,blue-collar,married,primary,no,-204,yes,yes,unknown,6,jun,42,1,-1,0,unknown,no
844,33,management,married,tertiary,no,4020,yes,yes,cellular,15,apr,251,1,-1,0,unknown,no
845,40,management,married,primary,no,733,yes,no,unknown,6,jun,94,7,-1,0,unknown,no
846,53,technician,married,tertiary,no,431,yes,no,unknown,11,jun,74,1,-1,0,unknown,no
847,39,technician,married,secondary,no,-735,yes,no,cellular,30,jan,144,5,248,2,failure,no
848,29,blue-collar,single,secondary,no,-20,no,yes,cellular,21,jul,574,1,-1,0,unknown,yes
849,32,student,single,tertiary,no,0,no,no,cellular,6,aug,101,5,3,6,other,no
850,40,management,single,secondary,no,10378,yes,no,cellular,17,nov,523,3,-1,0,unknown,no
851,51,management,married,tertiary,no,2934,yes,no,cellular,18,nov,727,4,-1,0,unknown,no
852,19,student,single,secondary,no,302,no,no,cellular,16,jul,205,1,-1,0,unknown,yes
853,52,technician,divorced,secondary,no,204,no,no,cellular,7,aug,134,2,-1,0,unknown,no
854,33,management,married,tertiary,no,150,no,no,cellular,21,aug,151,2,-1,0,unknown,no
855,57,housemaid,married,primary,no,0,no,no,unknown,9,jun,257,2,-1,0,unknown,no
856,29,technician,single,tertiary,no,2893,yes,no,unknown,3,jun,250,1,-1,0,unknown,no
857,43,blue-collar,married,secondary,no,10910,yes,no,cellular,15,may,66,2,-1,0,unknown,no
858,40,management,married,tertiary,no,-17,yes,yes,cellular,11,may,474,1,256,1,success,yes
859,36,blue-collar,single,secondary,no,35,yes,no,unknown,3,jun,435,3,-1,0,unknown,no
860,50,admin.,divorced,secondary,no,202,no,yes,cellular,17,nov,148,1,-1,0,unknown,no
861,26,entrepreneur,married,tertiary,no,37,yes,yes,cellular,6,may,207,1,363,2,failure,no
862,47,services,married,secondary,no,2322,no,no,cellular,22,aug,618,1,-1,0,unknown,no
863,26,unemployed,married,tertiary,no,454,yes,yes,unknown,23,may,28,18,-1,0,unknown,no
864,27,blue-collar,single,secondary,no,113,no,no,cellular,22,jul,39,17,-1,0,unknown,no
865,86,retired,married,secondary,no,1503,no,no,telephone,18,mar,165,3,101,1,other,no
866,58,blue-collar,married,secondary,no,-27,no,yes,telephone,31,jul,77,13,-1,0,unknown,no
867,47,admin.,married,secondary,no,310,yes,yes,telephone,14,aug,128,6,-1,0,unknown,no
868,32,technician,single,secondary,no,-28,no,yes,unknown,4,jul,400,1,-1,0,unknown,no
869,38,management,single,tertiary,no,15030,yes,no,cellular,13,may,167,1,174,7,other,no
870,38,management,married,tertiary,no,126,yes,no,unknown,21,may,164,2,-1,0,unknown,no
871,31,management,single,tertiary,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
872,48,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no
873,26,blue-collar,single,secondary,no,856,yes,yes,cellular,30,jul,95,5,-1,0,unknown,no
874,48,unknown,married,unknown,no,286,no,no,cellular,30,jul,166,2,-1,0,unknown,no
875,52,services,married,secondary,no,657,no,no,telephone,7,jul,398,2,460,2,failure,yes
876,43,technician,married,secondary,no,-932,yes,no,cellular,16,apr,567,1,-1,0,unknown,no
877,53,housemaid,married,primary,no,2581,no,no,cellular,15,apr,99,1,-1,0,unknown,no
878,55,technician,single,secondary,no,3339,yes,no,unknown,2,jun,63,1,-1,0,unknown,no
879,42,technician,married,secondary,no,-1310,yes,yes,unknown,28,may,162,1,-1,0,unknown,no
880,39,entrepreneur,married,unknown,no,98,yes,no,telephone,15,may,59,3,367,1,other,no
881,29,admin.,married,secondary,no,22171,yes,no,cellular,18,may,44,1,355,3,failure,no
882,51,technician,married,secondary,no,463,yes,no,unknown,13,may,213,5,-1,0,unknown,no
883,43,self-employed,married,tertiary,no,64,no,no,unknown,6,jun,230,2,-1,0,unknown,no
884,40,management,married,tertiary,no,60,no,no,unknown,16,jun,172,6,-1,0,unknown,no
885,42,entrepreneur,married,tertiary,no,157,yes,yes,unknown,7,may,650,1,-1,0,unknown,no
886,26,services,single,secondary,no,1347,no,no,telephone,18,jun,280,6,92,5,other,yes
887,25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
888,27,admin.,married,secondary,no,710,yes,yes,cellular,6,may,653,1,334,2,success,yes
889,58,blue-collar,married,primary,no,0,yes,no,unknown,29,may,535,2,-1,0,unknown,no
890,48,technician,married,secondary,no,427,no,no,unknown,14,may,201,1,-1,0,unknown,no
891,45,admin.,married,secondary,no,248,no,no,cellular,16,jul,212,2,-1,0,unknown,no
892,57,retired,married,tertiary,no,1180,yes,yes,unknown,14,may,191,2,-1,0,unknown,no
893,42,technician,married,secondary,no,2980,no,no,unknown,20,jun,101,3,-1,0,unknown,no
894,33,management,single,tertiary,no,23,no,no,cellular,20,aug,216,3,-1,0,unknown,no
895,36,unemployed,single,tertiary,no,9019,yes,no,unknown,11,jun,952,3,-1,0,unknown,no
896,53,management,divorced,secondary,no,112,no,yes,cellular,11,aug,246,3,-1,0,unknown,no
897,27,technician,married,secondary,no,130,yes,no,cellular,7,may,265,3,-1,0,unknown,no
898,31,technician,single,unknown,no,187,no,no,cellular,17,jul,86,1,-1,0,unknown,no
899,29,blue-collar,single,secondary,no,770,yes,no,cellular,17,apr,341,1,-1,0,unknown,no
